Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Colombia,276.5130854,294.7539568,321.0262417,377.9194215,436.1743,451.8833597,524.1830683,666.9626142,789.4530818,919.4430944,1078.356206,1143.886471,1189.857653,1131.680498,1080.273087,950.9011551,942.021464,932.3907903,1010.22853,961.3315898,1142.951301,1189.75409,1409.595109,1600.024765,1958.629205,2158.189611,2181.558346,2356.626108,2150.530459,1788.305544,2008.244487,1983.654479,1942.188652,1819.213954,2203.413129,2730.2995,2975.730771,3784.448111,4305.576125,4208.691016,5034.921021,5643.820275,6272.522197,6467.793256,6510.42377,5177.518289,4968.865364,5309.351581,5510.937773,5295.06423,4448.95466,
Comoros,,,,,,,,,,,635.7772888,569.6811025,515.4158157,521.4642185,488.1094716,502.4630879,693.508046,821.8647903,841.0163166,792.2997818,960.9951134,923.1383322,973.0791923,932.1744591,633.6576934,757.1198145,730.8640705,654.1239201,645.4001101,655.1322096,589.2811721,621.3153518,679.6357915,848.8685819,964.2039725,976.1404287,1020.157601,1130.974788,1266.664338,1224.186024,1187.250082,1301.721207,1255.07906,1348.082216,1354.286983,1106.874612,1137.677396,1188.363249,1284.663079,1240.81624,1270.783773,
Cabo Verde,,,,,,,,,,,,,,,,,,638.3613573,709.0593108,707.3940735,791.0254613,800.6107648,868.0892096,1171.830477,937.5276988,1091.485509,1090.7986,1045.393018,1086.93626,1211.403065,1066.285988,1103.395858,1178.450662,1535.497821,1712.351803,1738.973632,1935.396133,2680.296424,3062.311527,2940.532475,2726.438871,3042.318897,2829.415044,3000.78465,2936.547513,2518.166186,2595.960664,2722.756417,3033.570123,3023.095439,2548.326483,
Costa Rica,,504.4911505,556.7704252,678.1385045,725.2477926,823.4596899,988.712857,1238.812241,1371.456803,1518.296171,1753.783057,860.9790426,790.1681789,1001.277206,1171.358595,1240.080187,1382.647902,1375.696587,1351.716717,1493.62535,1642.916002,2050.792226,2389.042285,2612.395902,2831.942302,3040.663617,3011.199512,3173.73633,3330.929448,3313.624415,3392.854693,3547.735959,3615.981949,3710.502776,3952.724783,4199.834257,4756.659242,5594.383125,6385.915664,6175.89887,7485.607601,8380.775792,9203.74751,9778.64952,9833.773405,10543.72063,10883.28996,10929.63962,11139.18344,11246.68949,10700.43143,
Caribbean small states,,,,,,,,,,,1867.088678,2107.953358,2588.741254,2558.016347,2306.463933,2193.990746,1982.338941,2049.378187,2231.47652,2226.675193,2327.021681,2312.0449,2285.402469,2526.203221,2592.508508,2976.109293,3260.645847,3727.642191,4016.524449,4172.295346,4332.874897,4464.703435,4652.411197,4843.419304,5361.147654,5837.561713,6524.184431,7310.119113,8337.029716,6892.116822,7340.30124,7477.858572,7769.566305,8066.852432,8430.661571,8552.991776,7898.267444,8117.452057,8342.515676,8608.891001,7234.695649,
Cuba,586.3974499,699.7587795,808.8556936,976.0477662,1096.937675,1229.881034,1286.697371,1312.249736,1636.129814,1779.318068,1787.049234,1795.680988,1856.870952,1961.861423,2113.597577,1980.612689,2077.54229,2142.170394,2308.643442,2251.224234,2360.638929,1996.723249,1813.732362,1835.320139,2323.502077,2428.090301,1973.684403,1992.663007,2024.42678,2214.017174,2356.92566,2455.69342,2601.223445,2778.562575,2932.09459,3285.170162,4072.592986,4409.056424,4631.366191,4737.311624,4835.703232,5201.443077,5524.10521,5842.760751,6105.071167,6607.435187,6895.9812,7267.52512,7463.600461,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,1018.551863,1325.75967,1727.195559,2279.30828,3750.784907,3534.247319,3608.211343,3534.536021,3682.914392,3871.001746,4799.775762,5700.685101,6515.430049,6874.387295,8251.990498,8303.280202,9676.452011,9012.385248,9935.892713,12442.87371,12306.18233,11472.29182,13496.97444,12438.03931,11346.93029,11974.13554,13312.54742,17016.92052,19631.49137,20741.62246,22179.0587,25734.57184,30766.46967,28203.19664,26815.41256,29301.91672,25077.46558,23637.78229,22661.11255,20097.61343,20533.84769,22639.23378,24782.80243,24379.72146,22503.64756,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,3127.218081,3662.744948,4563.080232,5107.202226,4648.478697,5004.392955,4843.763638,4584.278364,5013.773519,6065.343581,7403.693537,8761.451801,10121.99822,11309.02417,13667.12757,16823.07089,14318.47239,14230.86556,15445.64675,14332.65437,14510.81916,14285.77046,12904.78563,13481.04416,15317.08255,17448.14037,17468.26262,17147.75421,
